SECID;BOARDID;SHORTNAME;PREVPRICE;LOTSIZE;FACEVALUE;STATUS;BOARDNAME;DECIMALS;SECNAME;REMARKS;MARKETCODE;INSTRID;SECTORID;MINSTEP;PREVWAPRICE;FACEUNIT;PREVDATE;ISSUESIZE;ISIN;LATNAME;REGNUMBER;PREVLEGALCLOSEPRICE;PREVADMITTEDQUOTE;CURRENCYID;SECTYPE;LISTLEVEL;SETTLEDATE
USBN;TQBR;УралСиб ао;0.0958;10000;0.1;A;Т+: Акции и ДР - безадрес.;4;БАНК УРАЛСИБ ПАО ао;;FNDT;EQIN;EQ-N;0.0001;0.0951;SUR;15.01.2020;3.60135E+11;RU0006929536;BANK URALSIB ao;10200030B;0.0954;0.0954;SUR;1;3;20.01.2020
UTAR;TQBR;ЮТэйр ао;7.29;100;1;A;Т+: Акции и ДР - безадрес.;2;"Авиакомания ""ЮТэйр"" (ПАО) ао";;FNDT;EQIN;EQ-N;0.01;7.25;SUR;15.01.2020;3702208000;RU0007661385;UTAir Aviacompany;1-01-00077-F;7.24;7.24;SUR;1;3;20.01.2020
UWGN;TQBR;ОВК ао;331.5;1;1;A;Т+: Акции и ДР - безадрес.;1;ПАО НПК ОВК ао;;FNDT;EQIN;EQ-N;0.1;333.6;SUR;15.01.2020;115996689;RU000A0JVBT9;OVK ao;1-01-82031-H;331.3;331.3;SUR;1;3;20.01.2020
VDSB;TQBR;ВЭК 01 ао;9.68;100;2.55;A;Т+: Акции и ДР - безадрес.;2;Владимирэнергосбыт ПАО;;FNDT;EQIN;EQ-N;0.02;9.74;SUR;15.01.2020;29165220;RU000A0DQWJ9;VEK ao;1-01-50087-A;9.68;9.68;SUR;1;3;20.01.2020
VGSB;TQBR;ВолгЭнСб;1.7;1000;0.12;A;Т+: Акции и ДР - безадрес.;3;Волгоград.энергосбыткомп ПАО;;FNDT;EQIN;EQ-N;0.005;1.795;SUR;15.01.2020;319595965;RU000A0D8L73;Volgograd Energo Sbyt;1-01-65103-D;1.69;1.69;SUR;1;3;20.01.2020
VGSBP;TQBR;ВолгЭнСб-п;1.225;1000;0.12;A;Т+: Акции и ДР - безадрес.;3;Волгоград.энергосбыткомп ПАО;;FNDT;EQIN;EQ-N;0.005;1.25;SUR;15.01.2020;80499134;RU000A0D8L57;Volgograd Energo Sbyt (pref);2-01-65103-D;1.225;1.225;SUR;2;3;20.01.2020
VJGZ;TQBR;Варьеган;704;1;0;A;Т+: Акции и ДР - безадрес.;0;Варьеганнефтегаз ПАО ао;;FNDT;EQIN;EQ-N;1;716;SUR;15.01.2020;18091110;RU0009046460;Var'eganneftegaz ao;1-01-00017-A;703;703;SUR;1;3;20.01.2020
VJGZP;TQBR;Варьеган-п;383;10;0;A;Т+: Акции и ДР - безадрес.;0;Варьеганнефтегаз ПАО ап;;FNDT;EQIN;EQ-N;1;388;SUR;15.01.2020;5883050;RU0007964789;Var'eganneftegaz ap;2-01-00017-A;383;383;SUR;2;3;20.01.2020
VLHZ;TQBR;ВХЗ-ао;58.5;10;20;A;Т+: Акции и ДР - безадрес.;2;Владимирский химич.з-д(ПАО) ао;;FNDT;EQIN;EQ-N;0.05;58.05;SUR;15.01.2020;5005605;RU0007984761;VHZ;1-02-04847-A;58.5;58.5;SUR;1;3;20.01.2020
VRSB;TQBR;ТНСэнВорон;49.8;100;0.4;A;Т+: Акции и ДР - безадрес.;1;ТНС энерго Воронеж ПАО ао;;FNDT;EQIN;EQ-N;0.2;51.8;SUR;15.01.2020;56151024;RU000A0DPG67;TNS energo Voroneg ao;1-01-55029-E;49.8;49.8;SUR;1;3;20.01.2020
VRSBP;TQBR;ТНСэнВор-п;24.5;100;0.4;A;Т+: Акции и ДР - безадрес.;1;ТНС энерго Воронеж ПАО ап;;FNDT;EQIN;EQ-N;0.5;25.5;SUR;15.01.2020;18716678;RU000A0DPG75;TNS energo Voroneg ap;2-01-55029-E;24.5;24.5;SUR;2;3;20.01.2020
VSMO;TQBR;ВСМПО-АВСМ;24800;1;1;A;Т+: Акции и ДР - безадрес.;0;Корп. ВСМПО-АВИСМА (ПАО) ао;;FNDT;EQIN;EQ-N;20;24820;SUR;15.01.2020;11529538;RU0009100291;Corp. VSMPO-AVISMA ao;1-01-30202-D;24840;24840;SUR;1;2;20.01.2020
VSYD;TQBR;ВыбСудЗ ао;3050;1;1;A;Т+: Акции и ДР - безадрес.;0;Выборгский Суд.Завод ПАО ао;;FNDT;EQIN;EQ-N;5;3035;SUR;15.01.2020;1553984;RU0006334372;Viborgskii sudostr. Zavod ao;1-01-02203-D;3050;3050;SUR;1;3;20.01.2020
VSYDP;TQBR;ВыбСудЗ ап;3480;1;1;A;Т+: Акции и ДР - безадрес.;0;Выборгский Суд.Завод ПАО ап;;FNDT;EQIN;EQ-N;20;3480;SUR;15.01.2020;51839;RU0006334380;Viborgskii sudostr. Zavod ap;2-01-02203-D;3480;3480;SUR;2;3;20.01.2020
VTBR;TQBR;ВТБ ао;0.046805;10000;0.01;A;Т+: Акции и ДР - безадрес.;6;ао ПАО Банк ВТБ;;FNDT;EQIN;EQ-N;0.000005;0.04735;SUR;15.01.2020;1.29605E+13;RU000A0JP5V6;VTB;10401000B;0.046805;0.046805;SUR;1;1;20.01.2020
VZRZ;TQBR;Возрожд-ао;481;1;10;N;Т+: Акции и ДР - безадрес.;0;"Банк ""Возрождение""-ао";;FNDT;EQIN;EQ-N;1;479;SUR;15.01.2020;23748694;RU0009084214;Vozrojdenie;10101439B;480;480;SUR;1;3;20.01.2020
VZRZP;TQBR;Возрожд-п;349.2;10;10;A;Т+: Акции и ДР - безадрес.;1;"Банк ""Возрождение"" - ап";;FNDT;EQIN;EQ-N;0.2;348.6;SUR;15.01.2020;1294505;RU0009100127;Vozrojdenie (pref);20201439B;349.2;349.2;SUR;2;3;20.01.2020
WTCM;TQBR;ЦМТ ао;9.04;100;1;A;Т+: Акции и ДР - безадрес.;2;Центр междун. торговлиПАО ао;;FNDT;EQIN;EQ-N;0.02;8.96;SUR;15.01.2020;1083000000;RU0008137070;CMT;1-01-01837-A;9.04;9.04;SUR;1;2;20.01.2020
WTCMP;TQBR;ЦМТ ап;7.78;100;1;A;Т+: Акции и ДР - безадрес.;2;Центр междун. торговлиПАО ап;;FNDT;EQIN;EQ-N;0.02;7.84;SUR;15.01.2020;162000000;RU0008137088;CMT (pref);2-01-01837-A;7.78;7.78;SUR;2;2;20.01.2020
YAKG;TQBR;ЯТЭК ао;32.66;100;1;A;Т+: Акции и ДР - безадрес.;2;Якутская топл.-энерг. комп. ао;;FNDT;EQIN;EQ-N;0.02;32.74;SUR;15.01.2020;826919375;RU0007796819;YaTEK ao;1-01-20510-F;32.66;32.66;SUR;1;3;20.01.2020
YKEN;TQBR;Якутскэнрг;0.29;10000;1;A;Т+: Акции и ДР - безадрес.;4;"АК ""Якутскэнерго"" (ПАО) ао";;FNDT;EQIN;EQ-N;0.0005;0.291;SUR;15.01.2020;7963562986;RU0009257075;YakutskEnergo;1-01-00304-A;0.29;0.29;SUR;1;3;20.01.2020
YKENP;TQBR;Якутскэн-п;0.265;10000;1;A;Т+: Акции и ДР - безадрес.;4;"АК ""Якутскэнерго"" (ПАО) ап";;FNDT;EQIN;EQ-N;0.0005;0.2605;SUR;15.01.2020;1332635125;RU0007796827;YakutskEnergo ap;2-01-00304-A;0.2635;0.2635;SUR;2;3;20.01.2020
YNDX;TQBR;Yandex clA;2690;1;0;A;Т+: Акции и ДР - безадрес.;1;PLLC Yandex N.V. class A shs;;FNDT;EQIN;EQ-N;0.2;2685.2;EUR;15.01.2020;292597655;NL0009805522;PLLC Yandex N.V.;;2690;2690;SUR;1;1;20.01.2020
YRSB;TQBR;ТНСэнЯр;160;10;1;A;Т+: Акции и ДР - безадрес.;0;ТНС энерго Ярославль ПАО ао;;FNDT;EQIN;EQ-N;2;164;SUR;15.01.2020;17143584;RU000A0D8760;TNS energo Yaroslavl' ao;1-01-50099-A;160;160;SUR;1;3;20.01.2020
YRSBP;TQBR;ТНСэнЯр-п;88;10;1;A;Т+: Акции и ДР - безадрес.;1;ТНС энерго Ярославль ПАО ап;;FNDT;EQIN;EQ-N;0.5;87.5;SUR;15.01.2020;4507320;RU000A0D88B3;TNS energo Yaroslavl' (pref);2-01-50099-A;88;88;SUR;2;3;20.01.2020
ZILL;TQBR;ЗИЛ ао;1980;1;1000;A;Т+: Акции и ДР - безадрес.;0;Завод им. И.А.Лихачева ПАО ао;;FNDT;EQIN;EQ-N;2;1996;SUR;15.01.2020;2659962;RU0009086193;ZIL ao;1-02-00036-A;1988;1988;SUR;1;3;20.01.2020
ZVEZ;TQBR;ЗВЕЗДА ао;4.68;1000;0.1;A;Т+: Акции и ДР - безадрес.;3;ЗВЕЗДА ПАО ао;;FNDT;EQIN;EQ-N;0.005;4.645;SUR;15.01.2020;562020480;RU0009091300;Zvezda ao;1-01-00169-D;4.675;4.675;SUR;1;3;20.01.2020
