SECID;BOARDID;SHORTNAME;PREVPRICE;LOTSIZE;FACEVALUE;STATUS;BOARDNAME;DECIMALS;SECNAME;REMARKS;MARKETCODE;INSTRID;SECTORID;MINSTEP;PREVWAPRICE;FACEUNIT;PREVDATE;ISSUESIZE;ISIN;LATNAME;REGNUMBER;PREVLEGALCLOSEPRICE;PREVADMITTEDQUOTE;CURRENCYID;SECTYPE;LISTLEVEL;SETTLEDATE
MRSB;TQBR;МордЭнСб;0.365;10000;0.014;A;Т+: Акции и ДР - безадрес.;3;Мордовск.энергсбыт.комп.ПАО ао;;FNDT;EQIN;EQ-N;0.001;0.361;SUR;15.01.2020;1345037710;RU000A0D9AJ7;Mordovskaya EnergoSbyt Comp.;1-01-55055-E;0.365;0.365;SUR;1;3;20.01.2020
MSNG;TQBR;#ИМЯ?;2.3495;1000;1;A;Т+: Акции и ДР - безадрес.;4;МосЭнерго акции обыкн.;;FNDT;EQIN;EQ-N;0.0005;2.3405;SUR;15.01.2020;39749359700;RU0008958863;MosEnrg;1-01-00085-A;2.3495;2.3495;SUR;1;1;20.01.2020
MSRS;TQBR;МОЭСК;1.215;1000;0.5;A;Т+: Акции и ДР - безадрес.;4;"ПАО ""МОЭСК"" ао";;FNDT;EQIN;EQ-N;0.0005;1.216;SUR;15.01.2020;48707091574;RU000A0ET7Y7;MOESK;1-01-65116-D;1.215;1.215;SUR;1;2;20.01.2020
MSTT;TQBR;Мостотрест;115.5;10;0.14;A;Т+: Акции и ДР - безадрес.;2;"ПАО ""МОСТОТРЕСТ"" ао";;FNDT;EQIN;EQ-N;0.05;116.6;SUR;15.01.2020;282215500;RU0009177331;Mostotrest;1-03-02472-A;115.5;115.5;SUR;1;2;20.01.2020
MTLR;TQBR;Мечел ао;92.17;1;10;A;Т+: Акции и ДР - безадрес.;2;Мечел ПАО ао;;FNDT;EQIN;EQ-N;0.01;92.31;SUR;15.01.2020;416270745;RU000A0DKXV5;Mechel;1-01-55005-E;92.17;92.17;SUR;1;1;20.01.2020
MTLRP;TQBR;Мечел ап;104;10;10;A;Т+: Акции и ДР - безадрес.;2;Мечел ПАО ап;;FNDT;EQIN;EQ-N;0.05;104.8;SUR;15.01.2020;138756915;RU000A0JPV70;Mechel pref.;2-01-55005-E;104;104;SUR;2;1;20.01.2020
MTSS;TQBR;МТС-ао;318.65;10;0.1;A;Т+: Акции и ДР - безадрес.;2;Мобильные ТелеСистемы ПАО ао;;FNDT;EQIN;EQ-N;0.05;317.8;SUR;15.01.2020;1998381575;RU0007775219;MTS;1-01-04715-A;318.65;318.65;SUR;1;1;20.01.2020
MVID;TQBR;М.видео;509;10;10;A;Т+: Акции и ДР - безадрес.;1;М.видео ПАО ао;;FNDT;EQIN;EQ-N;0.1;510.2;SUR;15.01.2020;179768227;RU000A0JPGA0;M.video;1-02-11700-A;509;509;SUR;1;1;20.01.2020
NAUK;TQBR;iНПОНаука;215;10;0.2;A;Т+: Акции и ДР - безадрес.;1;НПО Наука ао;;FNDT;EQIN;EQ-N;0.2;220.8;SUR;15.01.2020;11789500;RU000A0JRPX9;NPO Nauka ao;1-01-04440-A;215;215;SUR;1;3;20.01.2020
NFAZ;TQBR;Нефтекамск;131.6;10;1;A;Т+: Акции и ДР - безадрес.;1;Нефтекамский автозавод ПАО ао;;FNDT;EQIN;EQ-N;0.2;132;SUR;15.01.2020;8038896;RU0009115604;Neftekamskiy avtozavod PAO ao;1-01-30520-D;131.6;131.6;SUR;1;3;20.01.2020
NKHP;TQBR;НКХП ао;253;10;1;A;Т+: Акции и ДР - безадрес.;1;НКХП ПАО ао;;FNDT;EQIN;EQ-N;0.5;253;SUR;15.01.2020;67597000;RU000A0BLWD7;NKHP ao;1-03-35684-E;253;253;SUR;1;3;20.01.2020
NKNC;TQBR;НКНХ ао;116.2;10;1;A;Т+: Акции и ДР - безадрес.;2;Нижнекамскнефтехим ПАО ао;;FNDT;EQIN;EQ-N;0.05;115.75;SUR;15.01.2020;1611256000;RU0009100507;Niznekamskneftekhim ao;1-02-00096-A;116.2;116.2;SUR;1;3;20.01.2020
NKNCP;TQBR;НКНХ ап;93.98;100;1;A;Т+: Акции и ДР - безадрес.;2;Нижнекамскнефтехим ПАО ап;;FNDT;EQIN;EQ-N;0.02;94.46;SUR;15.01.2020;218983750;RU0006765096;Niznekamskneftekhim (pref);2-02-00096-A;93.98;93.98;SUR;2;3;20.01.2020
NKSH;TQBR;Нижкамшина;29.32;100;1;A;Т+: Акции и ДР - безадрес.;2;Нижнекамскшина ПАО ао;;FNDT;EQIN;EQ-N;0.02;31.02;SUR;15.01.2020;63731171;RU0009100515;Nizhnekamskshina ao;1-02-55032-D;29.32;29.32;SUR;1;3;20.01.2020
NLMK;TQBR;НЛМК ао;146.5;10;1;A;Т+: Акции и ДР - безадрес.;2;"ПАО ""НЛМК"" ао";;FNDT;EQIN;EQ-N;0.02;146.5;SUR;15.01.2020;5993227240;RU0009046452;NLMK ao;1-01-00102-A;146.5;146.5;SUR;1;1;20.01.2020
NMTP;TQBR;НМТП ао;9.45;100;0.01;A;Т+: Акции и ДР - безадрес.;3;НМТП (ПАО) ао;;FNDT;EQIN;EQ-N;0.005;9.495;SUR;15.01.2020;19259815400;RU0009084446;NMTP;1-01-30251-E;9.45;9.45;SUR;1;3;20.01.2020
NNSB;TQBR;ТНСэнНН ао;1440;1;12;A;Т+: Акции и ДР - безадрес.;0;ТНС энерго Нижний Новг.ПАО ао;;FNDT;EQIN;EQ-N;5;1410;SUR;15.01.2020;3919400;RU000A0ET5A1;TNS energo Nizhniy-Novgorod ao;1-01-55072-E;1440;1440;SUR;1;3;20.01.2020
